road_name,neighborhood,diagnosis_date,latitude,longitude,administrative_area_code,year,cases
裕文路,文聖里,2015/01/19,22.979,120.197,67000320,104,32
和緯路,六甲里,2015/05/21,22.997,120.198,67000340,104,21
西門路,六甲里,2015/06/23,23.062,120.228,67000340,104,1
西門路,六甲里,2015/06/24,23.062,120.207,67000340,104,2
立德十路,大德里,2015/06/26,22.999,120.228,67000320,104,22
惠安街,溪頂里,2015/07/01,23.027,120.208,67000350,104,15
西門路,六甲里,2015/07/03,23.028,120.192,67000340,104,8
育賢街,成德里,2015/07/07,22.98,120.219,67000340,104,6
安和路,安東里,2015/07/11,23.021,120.188,67000350,104,10
西門路,成德里,2015/07/11,23.019,120.19,67000340,104,3
大橋二街,大橋里,2015/07/12,22.975,120.187,67000310,104,27
民德路,和順里,2015/07/16,23.002,120.229,67000340,104,11
安和路,安東里,2015/07/16,22.978,120.199,67000350,104,3
公園路,六甲里,2015/07/17,22.991,120.191,67000340,104,2
德安街,溪頂里,2015/07/20,22.989,120.228,67000350,104,7
世平路,金城里,2015/07/20,23.038,120.266,67000360,104,2
建平七街,國平里,2015/07/20,22.979,120.213,67000360,104,13
西門路,正覺里,2015/07/21,23.038,120.265,67000340,104,2
竹子腳,全興里,2015/07/21,23.028,120.295,67000180,104,4
旭日街,大山里,2015/07/22,23.01,120.234,67000340,104,9
大社,大社里,2015/07/22,23.09,120.329,67000200,104,1
育安三街,安順里,2015/07/22,23.012,120.202,67000350,104,3
西門路,成功里,2015/07/22,23.021,120.286,67000340,104,2
安和路,州北里,2015/07/22,23.302,120.312,67000350,104,4
文賢二街,文成里,2015/07/23,23.015,120.228,67000340,104,24
西門路,成德里,2015/07/23,23.254,120.297,67000340,104,2
公園路,六甲里,2015/07/23,23.052,120.182,67000340,104,3
旭日街,大山里,2015/07/23,22.96,120.19,67000340,104,9
正覺街,正覺里,2015/07/23,22.967,120.233,67000340,104,4
北門路,大道里,2015/07/23,22.997,120.195,67000340,104,34
西門路,成德里,2015/07/24,23.017,120.24,67000340,104,1
神農街,民權里,2015/07/24,22.987,120.22,67000370,104,10
金華路,府南里,2015/07/24,22.962,120.184,67000330,104,6
旭的街,大山里,2015/07/24,23.005,120.209,67000340,104,11
安豐三街,安順里,2015/07/24,22.96,120.228,67000350,104,3
民族路,赤嵌里,2015/07/24,22.966,120.186,67000370,104,10
西門路,正覺里,2015/07/24,23.015,120.207,67000340,104,3
中華北路,成德里,2015/07/25,23.02,120.198,67000340,104,1
成功路,北勢里,2015/07/25,23.001,120.259,67000290,104,3
文成三路,成德里,2015/07/25,23.017,120.208,67000340,104,2
蘇林,蘇林里,2015/07/25,23.132,120.254,67000210,104,1
中華北路,大豐里,2015/07/26,23.02,120.2,67000340,104,9
東興路,小東里,2015/07/26,22.993,120.229,67000320,104,14
新美街,天后里,2015/07/26,22.997,120.201,67000370,104,10
西門路,六甲里,2015/07/26,23.009,120.208,67000340,104,5
文賢二街,文元里,2015/07/26,23.01,120.198,67000340,104,3
北安路,新順里,2015/07/26,23.028,120.205,67000350,104,5
西門路,六甲里,2015/07/26,23.003,120.204,67000340,104,10
忠義街,中華里,2015/07/28,23.001,120.236,67000310,104,2
大橋五街,大橋里,2015/07/28,23.018,120.228,67000310,104,4
長溪路,總頭里,2015/07/28,23.046,120.204,67000350,104,1
育北街,成德里,2015/07/28,23.021,120.202,67000340,104,2
民德路,和順里,2015/07/28,23.006,120.2,67000340,104,5
安中路,安慶里,2015/07/28,23.035,120.208,67000350,104,10
海中街,海西里,2015/07/28,23.042,120.183,67000350,104,1
北園街,元寶里,2015/07/28,23.013,120.222,67000340,104,8
實踐街,永祥里,2015/07/29,23.013,120.22,67000340,104,11
和善街,光賢里,2015/07/29,23.003,120.189,67000370,104,11
中正南路,二王里,2015/07/29,23.024,120.218,67000310,104,2
公園路,正覺里,2015/07/29,22.999,120.207,67000340,104,16
開元路,勝安里,2015/07/29,23.008,120.219,67000340,104,3
育賢路,成德里,2015/07/29,23.015,120.208,67000340,104,3
育平八街,平通里,2015/07/30,22.994,120.165,67000360,104,2
新興街,六合里,2015/07/30,23.012,120.229,67000310,104,17
北安路,溪頂里,2015/07/30,23.03,120.205,67000350,104,1
安中路,安慶里,2015/07/30,23.036,120.207,67000350,104,1
小北路,國姓里,2015/07/30,23.007,120.209,67000340,104,13
安生街,新順里,2015/07/30,23.046,120.213,67000350,104,2
育德路,成德里,2015/07/30,23.01,120.206,67000340,104,2
中華南路,大忠里,2015/07/30,22.962,120.191,67000330,104,3
中華西路,文平里,2015/07/30,22.998,120.187,67000360,104,9
德南街,文華里,2015/07/31,22.987,120.188,67000330,104,15
府安路,安富里,2015/07/31,23.025,120.206,67000350,104,2
裕農路,裕農里,2015/07/31,22.987,120.228,67000320,104,11
北園街,開元里,2015/07/31,23.014,120.221,67000340,104,11
長榮路,延平里,2015/07/31,23.012,120.22,67000340,104,6
北門路,大道里,2015/07/31,23.011,120.215,67000340,104,16
明興路,同安里,2015/07/31,22.941,120.187,67000330,104,1
民德路,和順里,2015/07/31,23.006,120.202,67000340,104,35
西埔,西埔里,2015/07/31,23.029,120.453,67000250,104,2
