administrative_area_code,longitude,road_name,date,sprayer,supporting_staff,detective,day_of_week,meeting_location,locksmith,neighborhood,latitude,police_officer,meeting_time,year
67000320,120.241804,,2015/01/21,3,3.0,1.0,三,裕文路,1.0,文聖里,22.9826487,1.0,850,104
67000320,120.2360187,,2015/05/22,4,0.0,0.0,五,裕農路,0.0,後甲,22.9886146,0.0,1500,104
67000340,120.2103339,,2015/05/24,9,10.0,1.0,日,和緯路二段30巷,1.0,六甲里,23.0120605,1.0,800,104
67000350,120.1974869,,2015/05/26,2,0.0,1.0,二,安寧街路口,1.0,安富里,23.0290379,1.0,830,104
67000340,120.2100531,,2015/06/13,8,11.0,2.0,六,公園路,2.0,正覺里,23.0068369,2.0,830,104
67000340,120.2103339,,2015/06/16,15,19.0,2.0,二,和緯路二段30巷,2.0,正覺里、六甲里,23.0120605,2.0,1330,104
67000350,120.2214112,,2015/06/19,2,0.0,1.0,五,長和路二段12巷213弄,0.0,州北里,23.0678996,1.0,1445,104
67000340,120.2100531,,2015/06/24,6,5.0,2.0,三,公園路,2.0,正覺里,23.0068369,2.0,830,104
67000320,120.2138896,,2015/06/27,2,0.0,1.0,六,立德十路1巷,1.0,大德里,22.9781706,1.0,1400,104
67000340,120.2145862,,2015/07/01,7,7.0,2.0,三,公園路769巷20弄,2.0,正覺里,23.0186004,2.0,1330,104
67000210,120.2541575,,2015/07/02,3,2.0,,四,安定里,1.0,海寮里,23.1115672,1.0,1430,104
67000350,120.2070491,,2015/07/03,8,9.0,1.0,五,頂溪里惠安街151巷,1.0,溪頂里,23.0258445,1.0,900,104
67000350,120.1358346,,2015/07/03,4,3.0,1.0,五,頂溪里聖安街,1.0,溪頂里,23.0585336,1.0,1400,104
67000350,120.2056136,,2015/07/04,9,10.0,1.0,六,郡安路四段278巷,1.0,溪頂里,23.0278731,1.0,1330,104
67000340,120.2103339,,2015/07/05,7,11.0,2.0,日,和緯路二段30巷,2.0,六甲里,23.0120605,2.0,1330,104
67000340,120.2079916,,2015/07/05,6,3.0,2.0,日,育賢街,2.0,成德里,23.0144262,2.0,1330,104
67000350,120.2056864,,2015/07/07,4,4.0,1.0,二,北安路二段60巷,1.0,溪頂里,23.0272246,1.0,1330,104
67000340,120.2166802,,2015/07/08,19,26.0,4.0,三,長榮路五段,4.0,延平里,23.0128505,4.0,1330,104
67000350,120.2088685,,2015/07/09,6,5.0,1.0,四,惠安街161巷,1.0,溪頂里,23.0256391,1.0,830,104
67000350,120.2060016,,2015/07/10,12,16.0,1.0,五,賢安街,1.0,溪頂里,23.0263164,1.0,830,104
67000350,120.2061077,,2015/07/10,11,14.0,1.0,五,北安路二段32巷,1.0,溪頂里,23.025434,1.0,1330,104
67000350,120.2148054,,2015/07/12,6,6.0,1.0,日,安東里安和路一段220巷,1.0,安東里,23.032076,1.0,1330,104
67000340,120.2079916,,2015/07/13,10,8.0,2.0,一,育賢街,2.0,成德里,23.0144262,2.0,1330,104
67000310,120.2277703,,2015/07/13,6,0.0,1.0,一,大橋二街,1.0,大橋里,23.0192305,1.0,1330,104
67000360,120.1797658,,2015/07/14,4,0.0,1.0,三,建平十一街,1.0,建平里,22.9948516,1.0,1330,104
67000350,120.2075765,,2015/07/15,13,19.0,1.0,三,泰安街,1.0,溪頂里,23.0275133,1.0,1330,104
67000350,120.2084671,,2015/07/15,7,31.0,1.0,三,惠安街51巷,1.0,溪頂里,23.0266311,1.0,1330,104
67000350,120.2084671,,2015/07/15,12,,1.0,三,惠安街51巷,1.0,溪頂里,23.0266311,1.0,1330,104
67000310,120.2390769,,2015/07/15,6,1.0,1.0,三,忠孝路239巷,1.0,中興里,23.0049385,1.0,1330,104
67000350,120.2156664,,2015/07/16,3,0.0,1.0,四,安和路五段171巷146弄,1.0,州北里,23.0648665,1.0,830,104
67000340,120.2120262,,2015/07/16,7,4.0,1.0,四,公園路758巷,1.0,延平里,23.0104919,1.0,1330,104
67000340,120.2131521,,2015/07/16,12,15.0,2.0,四,公園路862巷,2.0,正風里,23.0134417,2.0,1330,104
67000350,120.2154841,,2015/07/17,4,4.0,1.0,五,安和路一段288巷,1.0,安東里,23.0344857,1.0,830,104
67000340,120.1978621,,2015/07/17,9,6.0,2.0,五,海安路三段135巷,2.0,和順里,23.0045537,2.0,830,104
67000340,120.2090936,,2015/07/17,4,,0.0,五,西門路四段,0.0,成德里,23.0124842,0.0,1330,104
67000270,120.2531483,,2015/07/17,4,0.0,1.0,五,德善一街29號,1.0,後壁里,22.9502683,1.0,1430,104
